Runs:                                    Run 1 100.0            Run 2 100.0            Run 2 Totals          
Average chosen sect travelled Five      31.47045494696605      32.357717721636206     63.82817266860226      
chosen sect travelled Six               2887.5421275958715     3228.5301406914027     6116.072268287275      
Average chosen sect travelled Six       28.875421275958715     32.28530140691403      61.160722682872745     
chosen sect travelled Seven             2917.377705893763      2910.519092491411      5827.896798385174      
Average chosen sect travelled Seven     29.17377705893763      29.10519092491411      58.27896798385174      
chosen sect travelled Eight             4562.350076285057      4752.204049021682      9314.554125306739      
Average chosen sect travelled Eight     45.62350076285057      47.522040490216824     93.14554125306739      
chosen sect travelled Nine              0.0                    0.0                    0.0                    
Average chosen sect travelled Nine      0.0                    0.0                    0.0                    
chosen sect travelled Ten               0.0                    0.0                    0.0                    
Average chosen sect travelled Ten       0.0                    0.0                    0.0                    
chosen sect travelled Eleven            0.0                    0.0                    0.0                    
Average chosen sect travelled Eleven    0.0                    0.0                    0.0                    
chosen sect travelled Twelve            0.0                    0.0                    0.0                    
Average chosen sect travelled Twelve    0.0                    0.0                    0.0                    
chosen sect travelled Thirteen          0.0                    0.0                    0.0                    
Average chosen sect travelled Thirteen  0.0                    0.0                    0.0                    
chosen sect travelled Fourteen          0.0                    0.0                    0.0                    
Average chosen sect travelled Fourteen  0.0                    0.0                    0.0                    
chosen sect travelled Fifteen           0.0                    0.0                    0.0                    
Average chosen sect travelled Fifteen   0.0                    0.0                    0.0                    
chosen sect travelled Sixteen           0.0                    0.0                    0.0                    
Average chosen sect travelled Sixteen   0.0                    0.0                    0.0                    
lifetime                                10000.0                10000.0                20000.0                
Average lifetime                        100.0                  100.0                  200.0                  
Collision Varience                      0.175                  0.18309859154929575    0.35809859154929574    
Average Collision Varience              0.0017499999999999998  0.0018309859154929575  0.0035809859154929576  
Collision Varience Total                1.4                    1.464788732394366      2.864788732394366      
Average Collision Varience Total        0.013999999999999999   0.01464788732394366    0.02864788732394366    
Bounce Varience                         NaN                    NaN                    NaN                    
Average Bounce Varience                 NaN                    NaN                    NaN                    
Bounce Varience Total                   NaN                    NaN                    NaN                    
Average Bounce Varience Total           NaN                    NaN                    NaN                    
Chosen Varience                         1.0                    1.0                    2.0                    
Average Chosen Varience                 0.01                   0.01                   0.02                   
Chosen Varience Total                   16.0                   16.0                   32.0                   
Average Chosen Varience Total           0.16                   0.16                   0.32                   
Absolute Varience                       0.030383091149273442   0.03608515057113188    0.06646824172040533    
Average Absolute Varience               3.038309114927344E-4   3.6085150571131883E-4  6.646824172040532E-4   
Absolute Varience Total                 0.24306472919418753    0.28868120456905505    0.5317459337632426     
Average Absolute Varience Total         0.0024306472919418754  0.0028868120456905506  0.0053174593376324256  
Chosen distance Varience                1.0                    1.0                    2.0                    
Average Chosen distance Varience        0.01                   0.01                   0.02                   
Chosen distance Varience Total          16.0                   16.0                   32.0                   
Average Chosen distance Varience Total  0.16                   0.16                   0.32                   



seed: 8285488233758189792
increments: 100
jump size: 2.0
jumps per increment: 2.0
brakes: 25
file name: null
vid file name: null
heat topper: 0
jumps changed: false
tail: false
panel size: 1500
push: 0
jump size increment: 1.0
jumps per increment: 1.0
brake increments: 25.0
changed: false
type of traj: roulette
iterations: 250
change frequency: 75000
number of cells: 100
size of cells: 10
one: 4145
two: 2441
three: 1983
four: 2152
five: 2230
six: 1977
seven: 2416
eight: 4078
distribution: random
replication on: false
rep chance: 3000
rep taboo time: 0
rep varience on: false
rep varience: 100
death on: false
death chance: 2000
death type: clear
death varience on: false
death varience: 100
death time till removal: 100
boundary on: false
bound size: 500
bound type: circular
speed on: false
speed: 3.0
speed varience: 2
speed spreadType: random
bez on: false
bez bounce on: false
bez min distance: 5000
bez max distance: 50000
bez chance: 90000
bez number: 20
bez size: 5
bez type: random
bez varience: 1000
bez retainer: false
bez S var: 0
bez dist: false
ant path: false
ant ratio: 10000
ant varience ratio: 10000
species 0
replication: false
rep chance: 3000
rep taboo: 0
rep varience: false
er rep varience 2: 100
death: false
death chance: 2000
death varience: false
death varience 2: 100
death type: clear
time till removal: 100
speed flag: false
speed: 3.0
speedVar: 2
speed type: random
change flag: 75000
change varience: 0
cell num: 100
wOne: 4145
wOne var: 0
wTwo: 2441
wTwo varience: 0
wThree: 1983
wThree varience: 0
wFour: 2152
wFour varicne: 0
wFive: 2230
wFive varience: 0
wSix: 1977
wSix varience: 0
wSeven: 2416
wSeven varience: 0
wEight: 4078
wEight varience: 0
traj type: roulette
cell length: 10
cell length var: 4
ant path flag: false
ant ratio: 10000
ant varience: 10000
