Runs:                                    Run 1 50.0             Run 2 50.0             Run 2 Totals         
Average chosen sect travelled Five      29.503324265360384     34.54665025607524      64.04997452143562     
chosen sect travelled Six               2734.504030481575      2803.184982645307      5537.689013126882     
Average chosen sect travelled Six       27.345040304815747     28.031849826453072     55.37689013126882     
chosen sect travelled Seven             2811.83121489395       2916.170007156955      5728.001222050905     
Average chosen sect travelled Seven     28.1183121489395       29.16170007156955      57.28001222050905     
chosen sect travelled Eight             4227.389814287527      4688.85374763999       8916.243561927517     
Average chosen sect travelled Eight     42.27389814287527      46.8885374763999       89.16243561927516     
chosen sect travelled Nine              0.0                    0.0                    0.0                   
Average chosen sect travelled Nine      0.0                    0.0                    0.0                   
chosen sect travelled Ten               0.0                    0.0                    0.0                   
Average chosen sect travelled Ten       0.0                    0.0                    0.0                   
chosen sect travelled Eleven            0.0                    0.0                    0.0                   
Average chosen sect travelled Eleven    0.0                    0.0                    0.0                   
chosen sect travelled Twelve            0.0                    0.0                    0.0                   
Average chosen sect travelled Twelve    0.0                    0.0                    0.0                   
chosen sect travelled Thirteen          0.0                    0.0                    0.0                   
Average chosen sect travelled Thirteen  0.0                    0.0                    0.0                   
chosen sect travelled Fourteen          0.0                    0.0                    0.0                   
Average chosen sect travelled Fourteen  0.0                    0.0                    0.0                   
chosen sect travelled Fifteen           0.0                    0.0                    0.0                   
Average chosen sect travelled Fifteen   0.0                    0.0                    0.0                   
chosen sect travelled Sixteen           0.0                    0.0                    0.0                   
Average chosen sect travelled Sixteen   0.0                    0.0                    0.0                   
lifetime                                10000.0                10000.0                20000.0               
Average lifetime                        100.0                  100.0                  200.0                 
Collision Varience                      0.24675324675324675    0.08333333333333333    0.3300865800865801    
Average Collision Varience              0.0024675324675324673  8.333333333333333E-4   0.003300865800865801  
Collision Varience Total                1.974025974025974      0.6666666666666666     2.6406926406926408    
Average Collision Varience Total        0.01974025974025974    0.006666666666666666   0.026406926406926406  
Bounce Varience                         NaN                    NaN                    NaN                   
Average Bounce Varience                 NaN                    NaN                    NaN                   
Bounce Varience Total                   NaN                    NaN                    NaN                   
Average Bounce Varience Total           NaN                    NaN                    NaN                   
Chosen Varience                         1.0                    1.0                    2.0                   
Average Chosen Varience                 0.01                   0.01                   0.02                  
Chosen Varience Total                   16.0                   16.0                   32.0                  
Average Chosen Varience Total           0.16                   0.16                   0.32                  
Absolute Varience                       0.034084809447128286   0.025006615506747817   0.05909142495387611   
Average Absolute Varience               3.408480944712829E-4   2.500661550674782E-4   5.909142495387611E-4  
Absolute Varience Total                 0.2726784755770263     0.20005292405398253    0.47273139963100885   
Average Absolute Varience Total         0.002726784755770263   0.0020005292405398255  0.004727313996310089  
Chosen distance Varience                1.0                    1.0                    2.0                   
Average Chosen distance Varience        0.01                   0.01                   0.02                  
Chosen distance Varience Total          16.0                   16.0                   32.0                  
Average Chosen distance Varience Total  0.16                   0.16                   0.32                  



seed: 8285488233758189792
increments: 50
jump size: 2.0
jumps per increment: 2.0
brakes: 25
file name: null
vid file name: null
heat topper: 0
jumps changed: false
tail: false
panel size: 1500
push: 0
jump size increment: 1.0
jumps per increment: 1.0
brake increments: 25.0
changed: false
type of traj: roulette
iterations: 250
change frequency: 75000
number of cells: 100
size of cells: 10
one: 4145
two: 2441
three: 1983
four: 2152
five: 2230
six: 1977
seven: 2416
eight: 4078
distribution: random
replication on: false
rep chance: 3000
rep taboo time: 0
rep varience on: false
rep varience: 100
death on: false
death chance: 2000
death type: clear
death varience on: false
death varience: 100
death time till removal: 100
boundary on: false
bound size: 500
bound type: circular
speed on: false
speed: 3.0
speed varience: 2
speed spreadType: random
bez on: false
bez bounce on: false
bez min distance: 5000
bez max distance: 50000
bez chance: 90000
bez number: 20
bez size: 5
bez type: random
bez varience: 1000
bez retainer: false
bez S var: 0
bez dist: false
ant path: false
ant ratio: 10000
ant varience ratio: 10000
species 0
replication: false
rep chance: 3000
rep taboo: 0
rep varience: false
er rep varience 2: 100
death: false
death chance: 2000
death varience: false
death varience 2: 100
death type: clear
time till removal: 100
speed flag: false
speed: 3.0
speedVar: 2
speed type: random
change flag: 75000
change varience: 0
cell num: 100
wOne: 4145
wOne var: 0
wTwo: 2441
wTwo varience: 0
wThree: 1983
wThree varience: 0
wFour: 2152
wFour varicne: 0
wFive: 2230
wFive varience: 0
wSix: 1977
wSix varience: 0
wSeven: 2416
wSeven varience: 0
wEight: 4078
wEight varience: 0
traj type: roulette
cell length: 10
cell length var: 4
ant path flag: false
ant ratio: 10000
ant varience: 10000
