Runs:                                    Run 1 250.0            Run 2 250.0           Run 2 Totals         
Average chosen sect travelled Five      32.4721891687201       33.84096816309128     66.31315733181138     
chosen sect travelled Six               2798.5972330305003     2782.5445249439417    5581.141757974442     
Average chosen sect travelled Six       27.985972330305003     27.82544524943942     55.81141757974442     
chosen sect travelled Seven             3174.3243172404796     3269.557259602344     6443.881576842823     
Average chosen sect travelled Seven     31.743243172404796     32.69557259602344     64.43881576842824     
chosen sect travelled Eight             4053.9213660574214     4423.6731175796       8477.594483637022     
Average chosen sect travelled Eight     40.53921366057421      44.236731175796       84.77594483637021     
chosen sect travelled Nine              0.0                    0.0                   0.0                   
Average chosen sect travelled Nine      0.0                    0.0                   0.0                   
chosen sect travelled Ten               0.0                    0.0                   0.0                   
Average chosen sect travelled Ten       0.0                    0.0                   0.0                   
chosen sect travelled Eleven            0.0                    0.0                   0.0                   
Average chosen sect travelled Eleven    0.0                    0.0                   0.0                   
chosen sect travelled Twelve            0.0                    0.0                   0.0                   
Average chosen sect travelled Twelve    0.0                    0.0                   0.0                   
chosen sect travelled Thirteen          0.0                    0.0                   0.0                   
Average chosen sect travelled Thirteen  0.0                    0.0                   0.0                   
chosen sect travelled Fourteen          0.0                    0.0                   0.0                   
Average chosen sect travelled Fourteen  0.0                    0.0                   0.0                   
chosen sect travelled Fifteen           0.0                    0.0                   0.0                   
Average chosen sect travelled Fifteen   0.0                    0.0                   0.0                   
chosen sect travelled Sixteen           0.0                    0.0                   0.0                   
Average chosen sect travelled Sixteen   0.0                    0.0                   0.0                   
lifetime                                10000.0                10000.0               20000.0               
Average lifetime                        100.0                  100.0                 200.0                 
Collision Varience                      0.38461538461538464    0.39473684210526316   0.7793522267206479    
Average Collision Varience              0.0038461538461538464  0.003947368421052632  0.007793522267206478  
Collision Varience Total                3.076923076923077      3.1578947368421053    6.234817813765183     
Average Collision Varience Total        0.03076923076923077    0.031578947368421054  0.062348178137651825  
Bounce Varience                         NaN                    NaN                   NaN                   
Average Bounce Varience                 NaN                    NaN                   NaN                   
Bounce Varience Total                   NaN                    NaN                   NaN                   
Average Bounce Varience Total           NaN                    NaN                   NaN                   
Chosen Varience                         1.0                    1.0                   2.0                   
Average Chosen Varience                 0.01                   0.01                  0.02                  
Chosen Varience Total                   16.0                   16.0                  32.0                  
Average Chosen Varience Total           0.16                   0.16                  0.32                  
Absolute Varience                       0.032104006367736804   0.04960422163588391   0.08170822800362071   
Average Absolute Varience               3.2104006367736804E-4  4.960422163588391E-4  8.170822800362071E-4  
Absolute Varience Total                 0.25683205094189443    0.3968337730870713    0.6536658240289657    
Average Absolute Varience Total         0.0025683205094189443  0.003968337730870713  0.006536658240289657  
Chosen distance Varience                0.9999999999999999     1.0                   2.0                   
Average Chosen distance Varience        0.009999999999999998   0.01                  0.019999999999999997  
Chosen distance Varience Total          15.999999999999998     16.0                  32.0                  
Average Chosen distance Varience Total  0.15999999999999998    0.16                  0.31999999999999995   



seed: 8285488233758189792
increments: 250
jump size: 2.0
jumps per increment: 2.0
brakes: 25
file name: null
vid file name: null
heat topper: 0
jumps changed: false
tail: false
panel size: 1500
push: 0
jump size increment: 1.0
jumps per increment: 1.0
brake increments: 25.0
changed: false
type of traj: roulette
iterations: 250
change frequency: 75000
number of cells: 100
size of cells: 10
one: 4145
two: 2441
three: 1983
four: 2152
five: 2230
six: 1977
seven: 2416
eight: 4078
distribution: random
replication on: false
rep chance: 3000
rep taboo time: 0
rep varience on: false
rep varience: 100
death on: false
death chance: 2000
death type: clear
death varience on: false
death varience: 100
death time till removal: 100
boundary on: false
bound size: 500
bound type: circular
speed on: false
speed: 3.0
speed varience: 2
speed spreadType: random
bez on: false
bez bounce on: false
bez min distance: 5000
bez max distance: 50000
bez chance: 90000
bez number: 20
bez size: 5
bez type: random
bez varience: 1000
bez retainer: false
bez S var: 0
bez dist: false
ant path: false
ant ratio: 10000
ant varience ratio: 10000
species 0
replication: false
rep chance: 3000
rep taboo: 0
rep varience: false
er rep varience 2: 100
death: false
death chance: 2000
death varience: false
death varience 2: 100
death type: clear
time till removal: 100
speed flag: false
speed: 3.0
speedVar: 2
speed type: random
change flag: 75000
change varience: 0
cell num: 100
wOne: 4145
wOne var: 0
wTwo: 2441
wTwo varience: 0
wThree: 1983
wThree varience: 0
wFour: 2152
wFour varicne: 0
wFive: 2230
wFive varience: 0
wSix: 1977
wSix varience: 0
wSeven: 2416
wSeven varience: 0
wEight: 4078
wEight varience: 0
traj type: roulette
cell length: 10
cell length var: 4
ant path flag: false
ant ratio: 10000
ant varience: 10000
