Runs:                                    Run 1 150.0           Run 2 150.0            Run 2 Totals         
Average chosen sect travelled Five      30.676197159254794    28.51858953185675      59.194786691111545    
chosen sect travelled Six               2851.7190851417504    2991.829015780056      5843.5481009218065    
Average chosen sect travelled Six       28.517190851417503    29.918290157800563     58.435481009218066    
chosen sect travelled Seven             2802.0102504648794    3400.6294412328994     6202.639691697779     
Average chosen sect travelled Seven     28.020102504648793    34.00629441232899      62.02639691697779     
chosen sect travelled Eight             4147.187560703935     4806.360759943044      8953.54832064698      
Average chosen sect travelled Eight     41.471875607039344    48.06360759943044      89.53548320646979     
chosen sect travelled Nine              0.0                   0.0                    0.0                   
Average chosen sect travelled Nine      0.0                   0.0                    0.0                   
chosen sect travelled Ten               0.0                   0.0                    0.0                   
Average chosen sect travelled Ten       0.0                   0.0                    0.0                   
chosen sect travelled Eleven            0.0                   0.0                    0.0                   
Average chosen sect travelled Eleven    0.0                   0.0                    0.0                   
chosen sect travelled Twelve            0.0                   0.0                    0.0                   
Average chosen sect travelled Twelve    0.0                   0.0                    0.0                   
chosen sect travelled Thirteen          0.0                   0.0                    0.0                   
Average chosen sect travelled Thirteen  0.0                   0.0                    0.0                   
chosen sect travelled Fourteen          0.0                   0.0                    0.0                   
Average chosen sect travelled Fourteen  0.0                   0.0                    0.0                   
chosen sect travelled Fifteen           0.0                   0.0                    0.0                   
Average chosen sect travelled Fifteen   0.0                   0.0                    0.0                   
chosen sect travelled Sixteen           0.0                   0.0                    0.0                   
Average chosen sect travelled Sixteen   0.0                   0.0                    0.0                   
lifetime                                10000.0               10000.0                20000.0               
Average lifetime                        100.0                 100.0                  200.0                 
Collision Varience                      0.5517241379310345    0.24731182795698925    0.7990359658880237    
Average Collision Varience              0.005517241379310344  0.0024731182795698927  0.007990359658880238  
Collision Varience Total                4.413793103448276     1.978494623655914      6.39228772710419      
Average Collision Varience Total        0.044137931034482755  0.01978494623655914    0.0639228772710419    
Bounce Varience                         NaN                   NaN                    NaN                   
Average Bounce Varience                 NaN                   NaN                    NaN                   
Bounce Varience Total                   NaN                   NaN                    NaN                   
Average Bounce Varience Total           NaN                   NaN                    NaN                   
Chosen Varience                         1.0                   1.0                    2.0                   
Average Chosen Varience                 0.01                  0.01                   0.02                  
Chosen Varience Total                   16.0                  16.0                   32.0                  
Average Chosen Varience Total           0.16                  0.16                   0.32                  
Absolute Varience                       0.03747678429291589   0.022129653736006245   0.05960643802892214   
Average Absolute Varience               3.747678429291589E-4  2.2129653736006246E-4  5.960643802892213E-4  
Absolute Varience Total                 0.29981427434332714   0.17703722988804996    0.4768515042313771    
Average Absolute Varience Total         0.002998142743433271  0.0017703722988804997  0.004768515042313771  
Chosen distance Varience                1.0                   1.0                    2.0                   
Average Chosen distance Varience        0.01                  0.01                   0.02                  
Chosen distance Varience Total          16.0                  16.0                   32.0                  
Average Chosen distance Varience Total  0.16                  0.16                   0.32                  



seed: 8285488233758189792
increments: 150
jump size: 2.0
jumps per increment: 2.0
brakes: 25
file name: null
vid file name: null
heat topper: 0
jumps changed: false
tail: false
panel size: 1500
push: 0
jump size increment: 1.0
jumps per increment: 1.0
brake increments: 25.0
changed: false
type of traj: roulette
iterations: 250
change frequency: 75000
number of cells: 100
size of cells: 10
one: 4145
two: 2441
three: 1983
four: 2152
five: 2230
six: 1977
seven: 2416
eight: 4078
distribution: random
replication on: false
rep chance: 3000
rep taboo time: 0
rep varience on: false
rep varience: 100
death on: false
death chance: 2000
death type: clear
death varience on: false
death varience: 100
death time till removal: 100
boundary on: false
bound size: 500
bound type: circular
speed on: false
speed: 3.0
speed varience: 2
speed spreadType: random
bez on: false
bez bounce on: false
bez min distance: 5000
bez max distance: 50000
bez chance: 90000
bez number: 20
bez size: 5
bez type: random
bez varience: 1000
bez retainer: false
bez S var: 0
bez dist: false
ant path: false
ant ratio: 10000
ant varience ratio: 10000
species 0
replication: false
rep chance: 3000
rep taboo: 0
rep varience: false
er rep varience 2: 100
death: false
death chance: 2000
death varience: false
death varience 2: 100
death type: clear
time till removal: 100
speed flag: false
speed: 3.0
speedVar: 2
speed type: random
change flag: 75000
change varience: 0
cell num: 100
wOne: 4145
wOne var: 0
wTwo: 2441
wTwo varience: 0
wThree: 1983
wThree varience: 0
wFour: 2152
wFour varicne: 0
wFive: 2230
wFive varience: 0
wSix: 1977
wSix varience: 0
wSeven: 2416
wSeven varience: 0
wEight: 4078
wEight varience: 0
traj type: roulette
cell length: 10
cell length var: 4
ant path flag: false
ant ratio: 10000
ant varience: 10000
