Intervals:                               Run 2 Increments 0.0   Run 2 Increments 50.0   Run 2 Increments 100.0   Run 2 Increments 150.0   Run 2 Increments 200.0   Run 2 Increments 250.0   Run 2 Totals       
Total Deaths                            0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Total Deaths                    0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Total Births                            0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Total Births                    0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Active Cells                            100.0                  100.0                   100.0                    100.0                    100.0                    100.0                    600.0               
Average Active Cells                    1.0                    1.0                     1.0                      1.0                      1.0                      1.0                      6.0                 
Increments                              0.0                    50.0                    100.0                    150.0                    200.0                    250.0                    750.0               
Average Increments                      0.0                    0.5                     1.0                      1.5                      2.0                      2.5                      7.5                 
Jumps                                   1.0                    101.0                   201.0                    301.0                    401.0                    501.0                    1506.0              
Average Jumps                           0.01                   1.01                    2.01                     3.01                     4.01                     5.01                     15.059999999999999  
Distance from start                     200.00000000000006     1904.7645811501884      2559.568944049439        3017.223906921817        3666.0124432358684       4246.468766689032        15594.038642046344  
Average Distance from start             2.0000000000000004     19.047645811501884      25.59568944049439        30.172239069218172       36.660124432358685       42.46468766689032        155.94038642046345  
Speed                                   315.45603517047005     315.45603517047005      315.45603517047005       315.45603517047005       315.45603517047005       315.45603517047005       1892.73621102282    
Average Speed                           3.1545603517047005     3.1545603517047005      3.1545603517047005       3.1545603517047005       3.1545603517047005       3.1545603517047005       18.927362110228202  
Total Nearest                           0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Total Nearest                   0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Closest                                 0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Closest                         0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Furthest                                0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Furthest                        0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
total distance travelled                630.9120703409401      31545.603517047006      31545.603517047006       31545.603517047006       31545.603517047006       31545.603517047006       158358.92965557598  
Average total distance travelled        6.309120703409401      315.45603517047005      315.45603517047005       315.45603517047005       315.45603517047005       315.45603517047005       1583.5892965557596  
total collisions                        0.0                    96.0                    71.0                     93.0                     67.0                     76.0                     403.0               
Average total collisions                0.0                    0.96                    0.71                     0.93                     0.67                     0.76                     4.03                
total turns                             0.0                    3587.0                  3787.0                   3737.0                   3743.0                   3708.0                   18562.0             
Average total turns                     0.0                    35.87                   37.87                    37.37                    37.43                    37.08                    185.62              
total bez chosen                        0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average total bez chosen                0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
collision sector One                    0.0                    24.0                    19.0                     27.0                     22.0                     11.0                     103.0               
Average collision sector One            0.0                    0.24                    0.19                     0.27                     0.22                     0.11                     1.03                
collision sector Two                    0.0                    28.0                    12.0                     31.0                     9.0                      18.0                     98.0                
Average collision sector Two            0.0                    0.28                    0.12                     0.31                     0.09                     0.18                     0.98                
collision sector Three                  0.0                    20.0                    23.0                     21.0                     17.0                     34.0                     115.0               
Average collision sector Three          0.0                    0.2                     0.23                     0.21                     0.17                     0.34                     1.1500000000000001  
collision sector Four                   0.0                    24.0                    17.0                     14.0                     19.0                     13.0                     87.0                
Average collision sector Four           0.0                    0.24                    0.17                     0.14                     0.19                     0.13                     0.87                
collision sector Five                   0.0                    24.0                    19.0                     27.0                     22.0                     11.0                     103.0               
