Intervals:                               Run 1 Increments 0.0   Run 1 Increments 50.0   Run 1 Increments 100.0   Run 1 Increments 150.0   Run 1 Increments 200.0   Run 1 Increments 250.0   Run 1 Totals       
Average chosen sect travelled Three     0.0                    27.58685420346655       31.901416668505277       33.354254218030945       30.87459011104808        31.57861473807522        155.29572993912606  
chosen sect travelled Four              0.0                    2733.3021297588825      2884.7390692265435       3060.1896722483957       2869.5271932117944       2832.053728891269        14379.811793336885  
Average chosen sect travelled Four      0.0                    27.333021297588825      28.847390692265435       30.601896722483957       28.695271932117944       28.320537288912693       143.79811793336887  
chosen sect travelled Five              0.0                    2950.3324265360384      3147.045494696605        3067.6197159254793       3095.9331416549394       3247.2189168720097       15508.149695685071  
Average chosen sect travelled Five      0.0                    29.503324265360384      31.47045494696605        30.676197159254794       30.959331416549393       32.4721891687201         155.0814969568507   
chosen sect travelled Six               0.0                    2734.504030481575       2887.5421275958715       2851.7190851417504       2838.2966266343346       2798.5972330305003       14110.659102884034  
Average chosen sect travelled Six       0.0                    27.345040304815747      28.875421275958715       28.517190851417503       28.382966266343345       27.985972330305003       141.1065910288403   
chosen sect travelled Seven             0.0                    2811.83121489395        2917.377705893763        2802.0102504648794       2579.122263105141        3174.3243172404796       14284.665751598213  
Average chosen sect travelled Seven     0.0                    28.1183121489395        29.17377705893763        28.020102504648793       25.79122263105141        31.743243172404796       142.84665751598212  
chosen sect travelled Eight             0.0                    4227.389814287527       4562.350076285057        4147.187560703935        4381.906034230365        4053.9213660574214       21372.754851564303  
Average chosen sect travelled Eight     0.0                    42.27389814287527       45.62350076285057        41.471875607039344       43.81906034230364        40.53921366057421        213.72754851564304  
chosen sect travelled Nine              0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Nine      0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Ten               0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
